Ivica Boneš
Marsel Sešel
Muamed Mickovski
Dželadin Mustafagić
Asif Cokan
Anton Nikolaj Maher
Hafiz Grebenc
Igo Rodman
Dobrinko Muheljić
Želimir Weilgoni
Alberto Tabar
Edvard Gominšek
Zymer Ščukovt
Ivan Pavel Kamenščak
Harij Jakljevič
Nikodem Pajduh
Baškim Kremžar
Zikret Raušl
Leonard Grajš
Vesel Boncelj
Juergen Štefančič
Timmy Rahman
Ermin Čolig
Vejsil Čačulovič
Amar Tadenc
Hajradin Burhan
Mahmut Slunjski
Fausto Liu
Senad Kijamet
Savan Škrgat
Tai Škoporc
Zejnil Plemenitaš
Djemal Cvetkovič
Julijan Paunovič
Shefqet Mojškrc
Esperij Lepojević
Rusmir Kajzovar
Andrejas Kajič
Aljoša Fatkić
Nazif Paulović
Rudolf Franc Todori
Vojo Rizvič
Vaskrsija Termot
Jeronim Torkar
Nasuf Nachtigal
Ramis Pridgar
Arsenije Strojko
Serhiy Sirotka
Amadeo Vukoja
Remzi Fatur
Andrey Dželili
Marčel Gaberc
Božislav Udovič
Dionizij Šlebinger
Muamer Buč
Igorčo Kusterbanj
Mersim Čigoja
Ejub Žiža
Črt Horzelenberg
Hajriz Bervar
Samuel Krivic
Luciano Rudić
Jaka Štefula
Sandi Vaupič
Arun Wedam
Hilmo Gjuro
Naim Cebova
Feho Rizoski
Dimče Ovsenik
Jožef Aleksander Flego
Mersed Urbanec
Vatroslav Gajdurović
Milivoje Malkič
Isidor Kujundžić
Simo Muratagić
Franc Valentin Skenderija
Osmo Bacić
Aleksander Saša Bregač
Isuf Cepec
Diego Šalabalija
Guenter Flinčec
Ivko Ferlic
Oste Kvac
Remzo Doknić
Melhijor Nadarević
Arben Vinčec
Mirče Nonar
Marčelo Morčič
Džafer Rogar
Goce Konjevič
Jovica Hlače
Altin Gržančić
Eman Požgaj
Medi Markizeti
Sabahudin Olenik
Radoje Bilek
Andrey Kirijakopulos
Joahim Boljević
Odon Šagi
Vaclav Kastelič
Sreto Harner
Oskar Mravinc
Igo Mućaj
František Bejek
Ernest Mahajnc
Melis Makovac
Erni Revinšek
Radomir Ponudič
Želko Godnjov
Smiljan Vindšnurer
Momčilo Mistireki
Massimo Kegljevič
Domin Okrogar
Boris Ivan Šatur
Gavro Rojht
Silvan Lazarev
Sejdo Hojsak
Dime Konestabo
Harij Mazovec
Selim Jukić
Salmir Dović
Ivan Jakob Kancler
Nasko Benedik
Fatmir Cerinšek
Hamdi Štajdohar
Latif Dindić
Merzuk Lubanjšek
Danilo Greben
Martin Darko Markanović
Florim Štamec
Štefko Žulovec
Brendon Pohovnikar
Đorđe Bedoek
Franc Valentin Taškar
Aziz Ožvatić
Lavdim Breitenberger
Žani Mikek
Al Kero
Rosando Bećirbašić
Jusuf Labotar
Ljupko Milohnoja
Edvard Vučić
Muharem Požegar
Milidrag Koudila
Tarik Rehar
Enrico Švarda
Elver Šraj
Arijan Marjanovič
Đura Vujevič
Vojeslav Drempetič
Vasil Dacar
Janoš Borošak
Egon Bajrović
Bogomil Ridjić
Marino Zankolič
Trajan Pines
Neo Bat
Malić Ovidoni
Šefket Milenkov
Natan Deutschmann
Marijan Ivan Samastur
Ignjat Ričko
Nedžat Nardin
Kemo Stramec
Jožef Ivan Lemut
Ognjen Pensa
Srečo Šraj
Lin Šafner
Altin Adanalić
Sergije Ladišić
Edbin Boriš
Edoardo Popić
Besnik Ivanov
Igor Peter Škerjanc
Šefkija Bešvir
Ivan Emil Babojelić
Vajko Karabaš
Emin Šterman
Lojze Maglov
Claudio Morgan
Ivan Alojzij Škofič Maurer
Lajos Vozlič
Mark Dežutelj
Fausto Domijanić
Nedjeljko Burjan
Peter Franc Vazzaz
Gentrit Lazar
Rihard Hol
Momo Štunf
Mattia Grošič
Vito Buždon
Mathias Andrejčič
Etem Daničič
Muhamed Sevljak
Velaga Vavpič
Đorđi Ovniček
Nado Kosman
Mihailo Toerner
Edison Zigante
Luca Brajdič
Ivan Jakob Andrejević
Izudin Murakezi
Tatomir Nanut
Antal Drašković
Narcis Klanfar
Sulejman Matoshi
Rastko Žel
Ksaver Šohar
Stipo Drobir
Zlatan Testen
Šukrija Štubler
Stanislav Jožef Mehmeti
Franc Milan Jablanov
Riste Mumlek
Jožef Stanislav Škrabe
Davor Popivoda
Hysni Poljičak
Dževdet Herinek
Mike Stražar
Sedin Luskovič
Zafir Sudar
Juso Androić
Latif Steinberger
Baškim Komat
Štefko Giovani
Jožek Lipavšek
Ivan Anton Jahič
Albert Vrečun
Samir Gošnjak
Ilijas Kaube
Hamdija Ržišnik
Mavricij Peček
Hans Peter Kasami
Mehdi Haskaj
Ranko Basarić
Sejfo Muhovič
Tomislav Kozmus
Srčan Bromše
Vojmir Bytyqi
Dražan Gole
Ozren Jolić
Vane Magazin
Fetah Čajtinović
Zoki Špitalar
Mitja Janez Missia
Miloš Jerman
Krste Gaal
Janez Matija Braico
Rastko Biljali
Rajmund Soković
Stojadin Kuhta
Timej Prapotnik
Fejsal Štefic
Ratimir Moračanin
Mumin Celjer
Alojzij Čaleta
Dare Cvikl
Ernoe Džanković
Milan Jožef Klavora
Ado Fulder
Anel Kokanović
Gašpar Starič
Ivor Murdžoski
Radovan Buhaj
Šaip Brdarić
Hisni Skamljič
Rinald Radat
Demitrij Erdelić
Xhemajl Povšnar
Gverino Selimoski
Salji Auda
Qamil Vincekovič
Dorijan Alimoski
Spasoja Križnar
Emil Ivan Beljić
Salim Hočevar
Jožef Aleksander Mandalenič
Ken Malešević
Velija Šetor
Gentian Šivavec
Marko Jožef Tojagić
Ishak Bapić
Mihal Zabrdac
Miran Vrbanac
Dorjano Hajnže
Erminij Medar
Rudolf Jožef Mejić
Hamdija Špelec
Ilj Strdin
Arthur Šašek
Milomir Urbanaz
Gjuro Šesto
Nazim Radomir
Narciso Kučuković
Albert Franc Fijauž
Selvedin Alijagić
